tag,Type new
Enzyme Finance,defi
NFT,nft
Oracle,oracle
Lido,staking
AAVE,lending
ParaSwap,dex
mStable,defi
Rari Capital,defi
Derivatives,derivative
Uniswap,dex
Coinbase,cex
FTX,cex
Rubic,bridge
OKX,cex
Bancor,dex
Tornado.Cash,mixer
AI,other
Fee Recipient,fee
Kucoin,cex
Gate.io,cex
Chainlink,oracle
Bittrex,cex
0x,dex
HTX,cex
dYdX,derivative
IDEX,dex
HitBTC,cex
Sai Stablecoin,token
Index Protocol,defi
Insurance,insurance
Seigniorage,other
Kraken,cex
Crypto.com,cex
Furucombo,defi
MahaDAO,dao
Mxc,cex
Compound,lending
Endaoment,charity
Nexus Mutual,dao
Tokenlon,dex
Binance,cex
Harvest.Finance,farming
Big Data,other
1inch,dex
Maker,dao
BTC,other
Gemini,cex
DeFi,defi
Premia,dex
AirSwap,dex
Stablecoins,token
Cream.Finance,lending
Set,defi
ARCx,dao
Poloniex,cex
Idle.finance,defi
MEV Bot,mev
Polkadot,other
Synths,dex
Kyber,dex
Protocol,other
Synthetix,dex
Balancer,dex
WhiteBIT,cex
FixedFloat,cex
Exmo,cex
Coinone,cex
Kuna.io,cex
BitMart,cex
Vault,defi
Cryptopia,cex
ShapeShift,dex
YieldFarming,farming
Yobit,cex
Collectibles,nft
Decentraland,gaming
Indodax,cex
Bibox,cex
Rarible,nft
Bitmax,cex
Cold Wallet,wallet
Bitstamp,cex
Axie Infinity,gaming
Bithumb,cex
Gambling,other
Gitcoin Grants,dao
Yearn,yield
Gnosis,multisig
Grayscale,fund
Okex,cex
Coinex,cex
Upbit,cex
Bitfinex,cex
Lending;Borrowing,lending
Bitkub,cex
Iron Bank,defi
EtherDelta,dex
Alameda Research,fund
LooksRare,nft
Safe,dao
Bybit Exploit,stolen
Scroll,other
THORCHAIN,bridge
MEV Builder,other
OlympusDAO,dao
Scam,scam
Aragon,dao
Polygon (Matic),other
Optimism,other
Copper,dex
Bitget,cex
MyEtherWallet,wallet
Circle,company
Zapper.Fi,defi
Phishing,phishing
Automated Market Maker,dex
Alchemix Finance,defi
Sybil Delegate,dao
Value Defi,defi
Healthcare,other
KyberSwap,dex
Polkastarter,dex
Multichain,bridge
Hop Protocol,defi
MCDEX,dex
Etheremon,gaming
CEX,cex
Yield Aggregator,farming
Huobi,cex
Governance,dao
ETF,fund
BlackRock,fund
SushiSwap,dex
Exchange,cex
dex,dex
Saffron,yield
Ampleforth,stablecoin
Bounce Finance,nft
Rari Capital,lending
InsurAce Protocol,insurance
Enzyme Finance,fund
NEST Protocol,dex
bZx Protocol,dex
Curve.fi,dex
Liquity,defi
Keep,defi
Yam.Finance,dao
Fei Protocol,bridge
Ferrum,bridge
AI,ai
dForce,lending
Asset-backed,token
Empty Set Dollar,token
bZx ETH iToken,token
Jarvis,stablecoin
Hakka Finance,defi
Premia,derivative
Origin Dollar,stablecoin
PoolTogether,yield
Unit Protocol,lending
ARCx,lending
Ethfinex,dex